"Rank","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"246","Tim Hightower","FA","RB76","","126","282","210.3","40.8","307.0","+61.0"
"247","Jaron Brown","ARI","WR86","8","152","321","222.9","38.8","282.0","+35.0"
"248","Oakland Raiders","","DST16","10","174","310","219.2","28.6","214.0","-34.0"
"249","Branden Oliver","LAC","RB77","9","153","304","222.6","35.9","277.0","+28.0"
"250","Brandon LaFell","CIN","WR87","6","158","270","222.9","30.8","239.0","-11.0"
"251","Orleans Darkwa","NYG","RB78","8","160","260","209.3","34.2","265.0","+14.0"
"252","Chris Boswell","PIT","K13","9","158","256","217.9","23.2","189.0","-63.0"
"253","Los Angeles Chargers","","DST17","9","168","304","214.6","26.3","242.0","-11.0"
"254","Brandon McManus","DEN","K14","5","175","308","214.0","28.4","205.0","-49.0"
"255","Chandler Catanzaro","NYJ","K15","11","163","218","182.3","17.4","182.0","-73.0"
"256","Travis Benjamin","LAC","WR88","9","154","329","234.6","36.9","238.0","-18.0"
"257","Jeremy Kerley","FA","WR89","","92","322","237.7","54.3","341.0","+84.0"
"258","Green Bay Packers","","DST18","8","177","276","217.7","22.9","208.0","-50.0"
"259","Jesse James","PIT","TE30","9","172","313","221.2","33.5","215.0","-44.0"
"260","Alfred Morris","DAL","RB79","6","164","270","220.4","29.0","264.0","+4.0"
"261","Zach Zenner","DET","RB80","7","166","262","225.2","28.6","235.0","-26.0"
"262","Dede Westbrook","JAC","WR90","8","147","302","227.6","39.0","320.0","+58.0"
"263","Tom Savage","HOU","QB30","7","153","338","235.9","39.4","339.0","+76.0"
"264","Benjamin Watson","BAL","TE31","10","167","307","221.1","31.8","167.0","-97.0"
"265","Tampa Bay Buccaneers","","DST19","11","166","258","217.0","22.9","206.0","-59.0"
"266","New York Jets","","DST20","11","165","334","229.6","57.0","321.0","+55.0"
"267","Mike Glennon","CHI","QB31","9","161","262","234.4","25.9","298.0","+31.0"
"268","Matt Jones","IND","RB81","11","129","296","237.2","43.9","318.0","+50.0"
"269","Tennessee Titans","","DST21","8","163","277","221.6","30.8","256.0","-13.0"
"270","Mitch Trubisky","CHI","QB32","9","162","319","231.8","43.0","219.0","-51.0"
"271","Caleb Sturgis","PHI","K16","10","160","306","227.2","30.4","259.0","-12.0"
"272","Deshaun Watson","HOU","QB33","7","159","260","231.0","24.6","196.0","-76.0"
"273","Graham Gano","CAR","K17","11","178","246","217.6","18.8","159.0","-114.0"
"274","Atlanta Falcons","","DST22","5","188","253","221.3","24.5","197.0","-77.0"
"275","Wayne Gallman","NYG","RB82","8","168","330","234.5","44.2","300.0","+25.0"
"276","Gerald Everett","LAR","TE32","8","162","265","213.0","27.0","199.0","-77.0"
"277","Javorius Allen","BAL","RB83","10","179","300","229.0","38.2","337.0","+60.0"
"278","Jermaine Gresham","ARI","TE33","8","160","266","230.3","25.2","253.0","-25.0"
"279","JuJu Smith-Schuster","PIT","WR91","9","147","271","234.0","34.5","302.0","+23.0"
"280","Tyler Higbee","LAR","TE34","8","173","325","233.2","30.1","346.0","+66.0"
"281","Brandon Coleman","NO","WR92","5","149","315","237.8","40.6","251.0","-30.0"
"282","Bruce Ellington","HOU","WR93","7","150","273","229.4","38.1","283.0","+1.0"
"283","Josh McCown","NYJ","QB34","11","156","292","237.5","29.0","246.0","-37.0"
"284","Aaron Jones","GB","RB84","8","173","267","222.3","33.9","270.0","-14.0"
"285","Tyler Boyd","CIN","WR94","6","180","271","232.1","24.8","290.0","+5.0"
"286","Dwayne Washington","DET","RB85","7","160","275","227.0","42.2","",""
"287","Adam Shaheen","CHI","TE35","9","163","254","217.7","39.3","377.0","+90.0"
"288","Blair Walsh","SEA","K18","6","176","242","221.5","18.3","216.0","-72.0"
"289","Maxx Williams","BAL","TE36","10","166","275","225.0","40.3","387.0","+98.0"
"290","Nick Folk","TB","K19","11","183","268","222.0","34.3","332.0","+42.0"
"291","Jimmy Garoppolo","NE","QB35","9","171","236","203.5","32.5","267.0","-24.0"
"292","Kerwynn Williams","ARI","RB86","8","184","263","217.3","24.2","296.0","+4.0"
"293","Chris Godwin","TB","WR95","11","171","251","226.3","27.4","240.0","-53.0"
"294","Chad Henne","JAC","QB36","8","171","364","261.2","62.4","",""
"295","Jaelen Strong","HOU","WR96","7","177","362","253.9","53.0","381.0","+86.0"
"296","Aldrick Robinson","SF","WR97","11","177","350","256.0","64.0","",""
"297","Eli Rogers","PIT","WR98","9","188","315","241.0","24.2","349.0","+52.0"
"298","Chad Williams","ARI","WR99","8","179","349","247.6","56.3","",""
"299","Laquon Treadwell","MIN","WR100","9","188","267","237.3","23.0","286.0","-13.0"
"300","Chris Ivory","JAC","RB87","8","188","268","237.7","22.1","284.0","-16.0"
"301","Seth Roberts","OAK","WR101","10","190","334","233.6","34.7","362.0","+61.0"
"302","Taywan Taylor","TEN","WR102","8","182","272","246.1","27.5","",""
"303","Buffalo Bills","","DST23","6","186","259","225.2","22.6","254.0","-49.0"
"304","George Kittle","SF","TE37","11","183","339","239.3","38.4","295.0","-9.0"
"305","Lance Kendricks","GB","TE38","8","186","248","217.0","31.0","",""
"306","Braxton Miller","HOU","WR103","7","186","295","246.5","24.8","306.0","0.0"
"307","Phil Dawson","ARI","K20","8","187","277","239.1","22.2","291.0","-16.0"
"308","Adam Humphries","TB","WR104","11","190","332","261.0","71.0","368.0","+60.0"
"309","Detroit Lions","","DST24","7","191","278","238.3","29.3","",""
"310","Josh Lambo","FA","K21","","192","312","263.5","47.6","285.0","-25.0"
"311","Miami Dolphins","","DST25","11","193","281","231.8","19.5","271.0","-40.0"
"312","Mike Tolbert","BUF","RB88","6","196","252","234.3","20.4","",""
"313","Nick Novak","FA","K22","","193","343","248.8","46.6","289.0","-24.0"
"314","Elijah McGuire","NYJ","RB89","11","195","289","242.0","47.0","",""
"315","Ryan Succop","TEN","K23","8","195","323","243.7","40.6","326.0","+11.0"
"316","Markus Wheaton","CHI","WR105","9","195","297","247.6","36.7","347.0","+31.0"
"317","Mack Hollins","PHI","WR106","10","195","357","272.0","66.4","369.0","+52.0"
"318","Paxton Lynch","DEN","QB37","5","196","363","298.3","73.2","361.0","+43.0"
"319","Mike Nugent","FA","K24","","197","237","221.0","13.1","",""
"320","Kenyan Drake","MIA","RB90","11","197","252","230.4","15.3","279.0","-41.0"
"321","Cody Kessler","CLE","QB38","9","197","313","259.0","44.0","353.0","+32.0"
